,customer_city,customer_state,geolocation_city,geolocation_state,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,shipping_limit_date,payment_type,product_category_name,seller_city,seller_state,product_category_name_english,geolocation_lat,geolocation_lng,order_item_id,price,freight_value,payment_sequential,payment_installments,payment_value,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm,delivered_est_difference,delivered_purchase_difference
12,other,RJ,other,RJ,delivered,2017-04-01 15:58:40,2017-04-03 13:25:18,2017-04-11 15:10:34,2017-04-17 11:04:45,2017-05-02,other,credit_card,other,other,SP,other,-22.87072395883153,-42.34247802310279,1.0,4799.0,151.34,1.0,10.0,4950.34,41.0,1780.0,2.0,22600.0,55.0,40.0,40.0,14.0,15.0
13,sao paulo,SP,sao paulo,SP,delivered,2017-11-17 13:00:45,2017-11-17 13:55:26,2017-11-17 21:54:57,2017-11-23 17:52:59,2017-12-07,other,credit_card,esporte_lazer,curitiba,PR,sports_leisure,-23.569059783273147,-46.64740767660342,1.0,169.9,15.95,1.0,2.0,185.85,38.0,687.0,1.0,640.0,23.0,18.0,18.0,13.0,6.0
14,sao paulo,SP,sao paulo,SP,delivered,2017-10-10 10:48:00,2017-10-11 10:56:19,2017-10-18 19:16:44,2017-10-23 14:57:52,2017-10-27,other,credit_card,cama_mesa_banho,ibitinga,SP,bed_bath_table,-23.54127829087077,-46.65861488827982,2.0,18.9,11.85,1.0,5.0,61.5,43.0,124.0,1.0,250.0,40.0,4.0,30.0,3.0,13.0
15,curitiba,PR,curitiba,PR,delivered,2017-07-01 11:00:49,2017-07-02 11:05:09,2017-07-04 13:23:37,2017-07-11 17:44:26,2017-07-25,other,credit_card,esporte_lazer,other,SP,sports_leisure,-25.43034980393382,-49.26695477515222,1.0,999.99,101.52,1.0,1.0,1101.51,60.0,1332.0,2.0,28500.0,105.0,65.0,25.0,13.0,10.0
16,other,RS,other,RS,delivered,2018-08-21 12:26:53,2018-08-21 12:50:22,2018-08-23 17:10:00,2018-08-30 12:03:15,2018-09-24,other,credit_card,other,other,SP,other,-29.67704626859744,-51.06183961433543,2.0,146.01,7.79,2.0,8.0,163.82,35.0,514.0,2.0,4338.0,17.0,12.0,14.0,24.0,8.0
17,other,MG,other,MG,delivered,2017-12-12 08:39:09,2017-12-12 10:32:39,2017-12-13 18:38:53,2017-12-18 20:09:12,2018-01-11,other,credit_card,other,curitiba,PR,other,-20.664617780920803,-43.80571777301766,1.0,56.8,16.84,1.0,7.0,73.64,42.0,649.0,3.0,700.0,16.0,8.0,18.0,23.0,6.0
18,other,SP,other,SP,delivered,2017-09-28 13:05:54,2017-09-28 13:25:13,2017-09-28 20:21:34,2017-10-04 21:27:47,2017-10-27,other,credit_card,other,other,SC,other,-22.10046173001674,-50.162816151461534,1.0,33.99,16.11,1.0,1.0,50.1,60.0,306.0,1.0,550.0,16.0,2.0,11.0,22.0,6.0
19,rio de janeiro,RJ,rio de janeiro,RJ,delivered,2018-04-01 22:07:00,2018-04-02 22:09:37,2018-04-07 01:19:27,2018-04-07 16:44:27,2018-04-26,other,credit_card,other,other,RJ,other,-22.952534585059787,-43.18282662698361,1.0,1561.0,39.51,1.0,10.0,1600.51,43.0,122.0,1.0,14400.0,55.0,15.0,36.0,18.0,5.0
20,other,RS,other,RS,delivered,2018-01-21 14:29:50,2018-01-22 13:51:02,2018-01-23 22:18:05,2018-01-31 16:42:56,2018-03-01,other,credit_card,moveis_decoracao,sao paulo,SP,furniture_decor,-29.21749991394112,-51.53350734050489,2.0,69.9,20.98,1.0,3.0,181.76,44.0,903.0,6.0,2600.0,50.0,10.0,30.0,28.0,10.0
21,other,SP,other,SP,delivered,2017-06-27 11:21:39,2017-06-29 02:50:25,2017-06-29 15:26:23,2017-07-05 14:43:51,2017-07-26,other,boleto,informatica_acessorios,other,PR,computers_accessories,-24.110638750708283,-49.32116506823173,1.0,195.5,17.13,1.0,1.0,212.63,29.0,1386.0,1.0,600.0,23.0,17.0,15.0,20.0,8.0
22,belo horizonte,MG,belo horizonte,MG,delivered,2018-03-27 14:07:56,2018-03-28 02:35:29,2018-04-02 21:12:07,2018-04-07 16:39:20,2018-04-13,other,boleto,other,sao paulo,SP,other,-19.93558357452819,-43.96543646350052,1.0,62.9,16.41,1.0,1.0,79.31,59.0,474.0,1.0,3070.0,32.0,11.0,29.0,5.0,11.0
23,other,other,other,other,delivered,2018-01-06 10:38:43,2018-01-09 07:20:02,2018-01-09 17:29:34,2018-01-16 23:23:13,2018-01-31,other,boleto,other,sao paulo,SP,other,-20.280442571005683,-40.29414835171614,1.0,29.99,14.1,1.0,1.0,44.09,59.0,743.0,2.0,343.0,28.0,16.0,19.0,14.0,10.0
24,rio de janeiro,RJ,rio de janeiro,RJ,delivered,2018-01-16 09:26:39,2018-01-17 03:35:47,2018-01-17 16:46:04,2018-01-23 20:19:04,2018-02-07,other,boleto,cama_mesa_banho,ibitinga,SP,bed_bath_table,-22.96590555698649,-43.38999869671641,1.0,39.0,16.11,1.0,1.0,55.11,46.0,246.0,1.0,550.0,51.0,4.0,41.0,14.0,7.0
25,other,other,other,other,delivered,2018-03-03 09:11:43,2018-03-06 03:55:51,2018-03-09 17:07:06,2018-03-21 16:12:11,2018-03-29,other,boleto,other,other,SP,other,-13.301840999999946,-39.204133999999954,1.0,79.9,23.43,1.0,1.0,103.33,49.0,415.0,6.0,1150.0,35.0,25.0,25.0,7.0,18.0
26,other,MG,other,MG,delivered,2018-04-01 20:58:48,2018-04-01 21:10:25,2018-04-03 12:04:40,2018-04-06 23:06:45,2018-04-18,other,credit_card,informatica_acessorios,other,MG,computers_accessories,-21.54902284482078,-45.44806609420891,1.0,139.0,23.83,1.0,2.0,162.83,59.0,1893.0,1.0,6550.0,20.0,20.0,20.0,11.0,5.0
27,other,SP,other,SP,delivered,2018-02-12 17:58:36,2018-02-16 07:55:56,2018-02-21 22:22:04,2018-02-23 17:35:35,2018-02-26,other,boleto,esporte_lazer,sao paulo,SP,sports_leisure,-22.723330222863453,-47.64502991078528,1.0,110.8,11.98,1.0,1.0,122.78,53.0,880.0,4.0,2000.0,25.0,42.0,25.0,2.0,10.0
28,niteroi,RJ,niteroi,RJ,delivered,2018-02-03 00:55:53,2018-02-03 01:10:43,2018-02-06 01:34:25,2018-02-16 17:25:12,2018-03-07,other,credit_card,other,other,SP,other,-22.899419999999992,-43.09270199999999,1.0,619.0,19.08,1.0,8.0,638.08,33.0,623.0,1.0,425.0,19.0,13.0,16.0,18.0,13.0
29,rio de janeiro,RJ,rio de janeiro,RJ,delivered,2018-06-13 14:10:54,2018-06-15 02:37:21,2018-06-15 14:48:00,2018-06-19 13:34:35,2018-07-20,other,boleto,other,other,SP,other,-22.903996725229376,-43.17739555176294,2.0,69.0,18.58,1.0,1.0,175.16,52.0,1891.0,1.0,250.0,16.0,10.0,11.0,30.0,5.0
30,other,SP,other,SP,delivered,2017-11-21 08:25:55,2017-11-21 08:31:24,2017-11-21 16:52:17,2017-11-28 23:37:53,2017-12-14,other,credit_card,other,other,PR,other,-20.201619264549027,-50.92788527109192,1.0,99.9,17.95,1.0,3.0,117.85,52.0,1292.0,7.0,1900.0,17.0,13.0,31.0,15.0,7.0
31,other,RS,other,RS,delivered,2017-07-17 13:54:27,2017-07-17 14:05:42,2017-07-19 12:39:39,2017-07-28 19:52:42,2017-08-10,other,credit_card,cama_mesa_banho,ibitinga,SP,bed_bath_table,-30.01696607631721,-51.14699653150784,2.0,126.99,18.17,1.0,5.0,313.23,52.0,706.0,1.0,3000.0,30.0,20.0,25.0,12.0,11.0
32,rio de janeiro,RJ,rio de janeiro,RJ,delivered,2018-07-09 18:34:28,2018-07-09 18:45:21,2018-07-10 19:25:00,2018-07-20 17:19:52,2018-08-08,other,credit_card,other,other,SP,other,-22.8242938684716,-43.331713434235816,1.0,510.0,19.76,1.0,4.0,529.76,41.0,359.0,4.0,450.0,23.0,23.0,20.0,18.0,10.0
33,rio de janeiro,RJ,rio de janeiro,RJ,delivered,2017-10-21 14:10:35,2017-10-24 06:36:55,2017-11-01 23:22:49,2017-11-06 14:56:59,2017-11-16,other,boleto,other,other,SP,other,-22.91800045268047,-43.260879997085794,1.0,114.99,28.16,1.0,1.0,143.15,56.0,1285.0,1.0,8375.0,52.0,51.0,17.0,9.0,16.0
34,other,other,other,other,delivered,2018-05-12 12:28:58,2018-05-12 15:41:58,2018-05-14 14:25:00,2018-06-01 15:18:45,2018-06-05,other,credit_card,informatica_acessorios,sao paulo,SP,computers_accessories,-11.861108453380735,-55.50764534511696,3.0,14.99,22.06,1.0,5.0,165.94,51.0,831.0,2.0,250.0,17.0,35.0,32.0,3.0,20.0
35,other,other,other,other,delivered,2018-06-10 15:10:13,2018-06-11 17:02:04,2018-06-13 11:28:00,2018-06-21 23:08:49,2018-07-31,other,credit_card,esporte_lazer,other,SP,sports_leisure,2.81955697324222,-60.698608575598,1.0,149.9,39.27,1.0,5.0,378.34,32.0,222.0,2.0,2150.0,60.0,15.0,15.0,39.0,11.0
36,rio de janeiro,RJ,rio de janeiro,RJ,delivered,2018-01-18 11:27:38,2018-01-18 11:37:22,2018-01-18 20:48:01,2018-01-29 23:18:30,2018-02-16,other,credit_card,esporte_lazer,other,SP,sports_leisure,-22.922170532344555,-43.22312132904372,1.0,340.0,27.22,1.0,2.0,367.22,40.0,1686.0,1.0,3650.0,34.0,12.0,27.0,17.0,11.0
37,other,other,other,other,delivered,2017-09-27 10:43:12,2017-09-27 10:56:27,2017-09-28 17:43:41,2017-10-17 15:28:57,2017-11-01,other,credit_card,other,other,SP,other,-11.177041354097833,-40.51550142519967,1.0,56.99,16.84,1.0,3.0,73.83,54.0,1536.0,2.0,250.0,20.0,8.0,21.0,14.0,20.0
38,rio de janeiro,RJ,rio de janeiro,RJ,delivered,2018-03-03 14:00:36,2018-03-03 14:15:27,2018-03-06 23:24:01,2018-03-28 02:55:41,2018-04-13,other,credit_card,other,other,other,other,-22.95402954989652,-43.38978064872671,1.0,238.0,19.91,1.0,10.0,257.91,56.0,330.0,1.0,2050.0,35.0,45.0,19.0,15.0,24.0
39,rio de janeiro,RJ,rio de janeiro,RJ,delivered,2017-09-01 09:36:13,2017-09-05 04:26:02,2017-09-05 19:17:52,2017-09-14 18:07:39,2017-09-22,other,boleto,beleza_saude,other,PR,health_beauty,-22.895565070140048,-43.35881987116431,1.0,59.9,17.99,1.0,1.0,77.89,58.0,790.0,4.0,800.0,20.0,7.0,20.0,7.0,13.0
40,other,MG,other,MG,delivered,2017-12-04 22:26:52,2017-12-05 10:30:42,2017-12-11 19:28:24,2017-12-26 18:28:44,2018-01-02,other,credit_card,esporte_lazer,other,RJ,sports_leisure,-19.5054382986324,-42.57267339745509,1.0,239.99,18.93,1.0,3.0,258.92,56.0,1335.0,5.0,2000.0,50.0,17.0,30.0,6.0,21.0
41,other,SP,other,SP,delivered,2018-04-02 08:47:49,2018-04-02 09:08:50,2018-04-03 00:27:34,2018-04-13 13:22:32,2018-04-19,other,credit_card,moveis_decoracao,other,SP,furniture_decor,-23.1774598661464,-46.91727596301613,5.0,49.9,13.71,1.0,4.0,318.05,57.0,3571.0,1.0,600.0,17.0,17.0,60.0,5.0,11.0
42,other,SP,other,SP,delivered,2017-11-08 15:08:18,2017-11-08 15:26:54,2017-11-09 17:05:39,2017-11-10 19:57:48,2017-11-22,other,credit_card,other,sao paulo,SP,other,-23.42557231057763,-46.41598571065842,1.0,13.65,7.78,1.0,1.0,21.43,39.0,400.0,1.0,200.0,25.0,7.0,16.0,11.0,2.0
43,other,SP,other,SP,delivered,2017-10-25 16:05:38,2017-10-27 03:07:07,2017-10-27 13:28:15,2017-10-30 16:50:08,2017-11-07,other,boleto,other,other,SP,other,-23.664863687326687,-46.79741663138266,1.0,48.0,7.78,1.0,1.0,55.78,32.0,216.0,3.0,250.0,20.0,9.0,11.0,7.0,5.0
44,sao paulo,SP,sao paulo,SP,delivered,2018-02-05 13:05:33,2018-02-05 13:30:37,2018-02-08 00:26:55,2018-02-09 21:11:54,2018-02-21,other,credit_card,other,sao paulo,SP,other,-23.580095205636585,-46.64308619154512,1.0,21.99,7.78,1.0,1.0,29.77,60.0,540.0,6.0,300.0,17.0,4.0,11.0,11.0,4.0
45,curitiba,PR,curitiba,PR,delivered,2017-09-01 20:04:49,2017-09-12 12:35:16,2017-09-12 18:47:56,2017-09-19 20:27:58,2017-09-22,other,credit_card,other,other,SP,other,-25.437799959201328,-49.34102227739635,1.0,29.9,15.1,1.0,2.0,45.0,54.0,1386.0,1.0,200.0,16.0,2.0,11.0,2.0,18.0
46,other,SP,other,SP,delivered,2017-11-20 21:55:53,2017-11-21 22:29:19,2017-11-22 22:41:14,2017-11-28 22:11:27,2017-12-07,other,credit_card,other,other,SP,other,-22.23364780716232,-50.889070814984045,1.0,1029.99,18.71,1.0,8.0,1048.7,40.0,651.0,3.0,500.0,23.0,15.0,19.0,8.0,8.0
47,other,other,other,other,delivered,2017-11-26 12:13:45,2017-11-26 12:34:37,2017-11-27 22:46:55,2017-12-06 15:28:41,2017-12-20,other,credit_card,informatica_acessorios,other,SP,computers_accessories,-20.29669436912124,-40.29353661881798,1.0,45.73,15.1,1.0,1.0,60.83,31.0,694.0,1.0,167.0,16.0,14.0,13.0,13.0,10.0
48,other,SP,other,SP,delivered,2017-03-11 19:12:49,2017-03-11 19:12:49,2017-03-15 14:14:08,2017-03-21 08:58:35,2017-03-30,other,boleto,esporte_lazer,sao paulo,SP,sports_leisure,-23.45255007799065,-47.47966372883605,1.0,650.0,64.91,1.0,1.0,714.91,25.0,422.0,1.0,30000.0,80.0,51.0,44.0,8.0,9.0
49,other,SP,other,SP,delivered,2017-12-17 11:25:52,2017-12-17 11:32:26,2017-12-19 19:26:10,2017-12-27 10:19:26,2018-01-11,other,voucher,other,sao paulo,SP,other,-22.53424724887492,-52.16350835623648,1.0,295.0,18.78,2.0,1.0,250.0,55.0,1869.0,5.0,1150.0,35.0,15.0,20.0,14.0,9.0
50,belo horizonte,MG,belo horizonte,MG,delivered,2017-08-28 13:38:01,2017-08-28 13:50:14,2017-08-29 18:38:08,2017-09-01 22:42:17,2017-09-08,other,credit_card,other,belo horizonte,MG,other,-19.925046519696657,-43.9658361201919,1.0,118.9,10.05,1.0,4.0,128.95,59.0,320.0,1.0,850.0,20.0,44.0,39.0,6.0,4.0
51,other,RS,other,RS,delivered,2018-07-30 13:59:38,2018-07-30 14:40:15,2018-07-31 13:11:00,2018-08-06 21:56:42,2018-08-23,other,credit_card,other,other,SP,other,-30.04504012461769,-51.23078512199197,1.0,59.19,18.51,1.0,1.0,77.7,58.0,246.0,1.0,150.0,18.0,8.0,13.0,16.0,7.0
52,other,MG,other,MG,delivered,2018-07-23 17:21:43,2018-07-24 10:32:28,2018-08-03 14:35:00,2018-08-07 21:47:32,2018-08-16,other,credit_card,other,other,SP,other,-20.07961578529856,-44.58284467852343,1.0,119.85,20.03,1.0,5.0,139.88,53.0,922.0,7.0,1050.0,16.0,20.0,16.0,8.0,15.0
53,rio de janeiro,RJ,rio de janeiro,RJ,delivered,2018-04-23 12:58:35,2018-04-24 17:45:41,2018-04-24 22:38:48,2018-07-02 23:18:11,2018-05-28,other,credit_card,other,sao paulo,SP,other,-23.00551425914832,-43.37596441256672,1.0,33.0,16.32,1.0,1.0,49.32,57.0,529.0,4.0,575.0,16.0,18.0,12.0,-36.0,70.0
54,other,other,other,other,delivered,2018-02-28 14:41:52,2018-03-01 15:09:50,2018-03-02 20:09:05,2018-03-20 18:07:36,2018-03-27,other,credit_card,other,other,SP,other,-16.434400202432172,-51.11114620429945,1.0,79.99,16.32,1.0,9.0,96.31,59.0,1071.0,1.0,550.0,21.0,12.0,20.0,6.0,20.0
55,other,SP,other,SP,delivered,2018-04-25 23:17:16,2018-04-25 23:30:24,2018-05-09 15:34:00,2018-05-10 19:48:51,2018-05-18,other,credit_card,other,other,SP,other,-22.93394034080705,-47.0590556692833,2.0,79.99,14.55,1.0,8.0,189.08,26.0,1177.0,1.0,11880.0,50.0,60.0,27.0,7.0,14.0
56,rio de janeiro,RJ,rio de janeiro,RJ,delivered,2017-10-11 14:49:49,2017-10-11 15:08:32,2017-10-13 21:09:03,2017-10-17 21:56:01,2017-11-03,other,credit_card,other,belo horizonte,MG,other,-22.919824204830046,-43.26584778212821,3.0,7.9,4.2,1.0,1.0,310.69,33.0,360.0,3.0,150.0,16.0,2.0,11.0,16.0,6.0
57,other,PR,other,PR,delivered,2018-03-27 16:41:35,2018-03-27 16:55:20,2018-03-28 17:36:37,2018-03-31 17:44:27,2018-04-13,other,voucher,other,curitiba,PR,other,-23.43412206487197,-51.95820066531204,1.0,99.0,21.08,2.0,1.0,100.0,47.0,410.0,5.0,3500.0,52.0,7.0,55.0,12.0,4.0
58,other,other,other,other,delivered,2018-08-11 20:29:39,2018-08-11 20:44:33,2018-08-15 13:01:00,2018-08-22 12:05:26,2018-08-30,other,credit_card,informatica_acessorios,other,RJ,computers_accessories,,,2.0,199.0,19.49,1.0,10.0,436.98,34.0,1727.0,1.0,50.0,30.0,30.0,20.0,7.0,10.0
59,other,SP,other,SP,delivered,2018-04-23 14:48:58,2018-04-24 19:24:13,2018-04-24 22:26:44,2018-04-27 15:33:27,2018-05-10,other,boleto,other,other,SP,other,-23.47136019292266,-46.32134564953336,1.0,27.9,7.87,1.0,1.0,35.77,59.0,982.0,1.0,150.0,17.0,13.0,13.0,12.0,4.0
60,belo horizonte,MG,belo horizonte,MG,delivered,2018-08-05 21:34:54,2018-08-05 21:45:17,2018-08-15 17:42:00,2018-08-21 00:11:52,2018-08-17,other,credit_card,other,ibitinga,SP,other,-19.86018452840089,-43.9536950506173,1.0,99.0,44.49,1.0,1.0,143.49,24.0,356.0,2.0,7750.0,33.0,25.0,33.0,-5.0,15.0
61,other,SP,other,SP,delivered,2018-05-04 23:20:54,2018-05-05 23:15:16,2018-05-07 16:12:00,2018-05-14 20:28:50,2018-06-05,other,credit_card,informatica_acessorios,other,PR,computers_accessories,-23.953746164031383,-46.35012345516197,1.0,98.81,13.81,1.0,6.0,112.62,51.0,378.0,1.0,200.0,17.0,13.0,13.0,21.0,9.0
62,sao paulo,SP,sao paulo,SP,delivered,2018-06-18 22:59:35,2018-06-20 02:55:21,2018-06-20 15:24:00,2018-06-23 18:51:39,2018-07-13,other,boleto,beleza_saude,curitiba,PR,health_beauty,-23.61152242131686,-46.48451173120198,1.0,99.9,15.8,1.0,1.0,115.7,57.0,525.0,2.0,125.0,20.0,16.0,19.0,19.0,4.0
63,other,MG,other,MG,delivered,2018-04-26 13:52:26,2018-04-26 14:11:59,2018-04-30 06:24:00,2018-05-05 19:07:53,2018-05-25,other,credit_card,other,other,SP,other,-19.651501553701458,-43.90672668300257,1.0,99.9,0.0,1.0,1.0,99.9,33.0,523.0,3.0,584.0,16.0,11.0,13.0,19.0,9.0
64,rio de janeiro,RJ,rio de janeiro,RJ,delivered,2017-10-16 19:01:58,2017-10-16 19:40:08,2017-10-19 18:45:31,2017-10-28 13:22:55,2017-11-23,other,credit_card,other,other,SP,other,-23.0146699406306,-43.30988489213328,1.0,89.8,18.0,1.0,2.0,107.8,55.0,889.0,1.0,4267.0,46.0,39.0,22.0,25.0,11.0
65,other,RJ,other,RJ,delivered,2017-08-26 08:51:18,2017-08-26 09:05:17,2017-08-28 19:40:11,2017-09-05 19:22:28,2017-09-22,other,credit_card,beleza_saude,other,other,health_beauty,-22.452855279561778,-43.46809273296815,1.0,79.0,19.79,1.0,4.0,98.79,48.0,594.0,1.0,1850.0,24.0,36.0,23.0,16.0,10.0
66,other,SP,other,SP,delivered,2018-08-01 13:03:14,2018-08-01 13:40:17,2018-08-03 14:40:00,2018-08-08 02:04:20,2018-08-13,other,credit_card,other,other,SP,other,-20.58516630933549,-47.86335504510255,1.0,34.0,13.82,1.0,1.0,47.82,54.0,3077.0,1.0,650.0,19.0,19.0,19.0,4.0,6.0
67,other,other,other,other,delivered,2017-12-07 14:07:50,2017-12-07 15:29:28,2017-12-19 16:23:30,2017-12-23 17:15:57,2018-01-08,other,credit_card,other,other,SP,other,-20.44546027280872,-54.65526865347114,2.0,70.97,17.75,1.0,5.0,266.16,41.0,673.0,1.0,3008.0,32.0,45.0,32.0,15.0,16.0
68,other,SP,other,SP,delivered,2018-01-03 16:05:40,2018-01-03 16:31:29,2018-01-05 17:52:09,2018-01-10 20:08:26,2018-01-26,other,credit_card,cama_mesa_banho,ibitinga,SP,bed_bath_table,-22.75995175714125,-47.63554122344038,1.0,195.9,34.64,1.0,8.0,230.54,57.0,941.0,1.0,8917.0,36.0,27.0,50.0,15.0,7.0
69,other,MG,other,MG,delivered,2017-05-02 13:41:47,2017-05-02 13:50:20,2017-05-04 17:10:31,2017-05-08 13:57:47,2017-05-25,other,credit_card,other,other,SP,other,-18.76065071542164,-44.42658684150638,1.0,139.9,16.19,1.0,3.0,156.09,46.0,588.0,2.0,500.0,16.0,12.0,22.0,16.0,6.0
70,other,SP,other,SP,delivered,2017-11-01 14:03:24,2017-11-01 14:31:33,2017-11-03 16:21:53,2017-11-08 19:46:21,2017-11-22,other,credit_card,cama_mesa_banho,sao paulo,SP,bed_bath_table,-20.426710385647475,-49.94440221182441,1.0,45.9,12.69,1.0,10.0,117.18,38.0,735.0,5.0,800.0,20.0,20.0,20.0,13.0,7.0
71,other,other,other,other,delivered,2018-04-13 18:58:34,2018-04-17 05:50:27,2018-04-17 21:40:53,2018-04-25 22:07:23,2018-05-15,other,boleto,informatica_acessorios,other,other,computers_accessories,-14.68760146814402,-41.68024638832559,1.0,149.9,23.98,1.0,1.0,173.88,48.0,894.0,1.0,533.0,22.0,11.0,20.0,19.0,12.0
72,other,SP,other,SP,delivered,2017-07-14 12:20:11,2017-07-15 03:34:13,2017-07-17 20:41:32,2017-08-01 22:37:40,2017-08-07,other,boleto,other,other,MG,other,-23.061231770573816,-45.57621242874328,1.0,54.9,13.4,1.0,1.0,68.3,41.0,230.0,1.0,800.0,45.0,10.0,32.0,5.0,18.0
73,other,MG,other,MG,delivered,2017-03-07 15:04:38,2017-03-07 15:15:18,2017-03-08 16:20:40,2017-03-20 15:12:42,2017-03-28,other,credit_card,cama_mesa_banho,ibitinga,SP,bed_bath_table,-19.75732926124473,-43.93376869621324,1.0,69.9,15.7,1.0,1.0,85.6,58.0,689.0,1.0,950.0,45.0,15.0,35.0,7.0,13.0
74,rio de janeiro,RJ,rio de janeiro,RJ,delivered,2018-04-29 20:28:53,2018-04-29 20:54:40,2018-04-30 14:07:00,2018-05-10 18:19:34,2018-06-07,other,credit_card,other,other,SP,other,-22.92380939327147,-43.23400533112119,1.0,52.0,17.94,1.0,1.0,69.94,48.0,1369.0,2.0,6850.0,48.0,25.0,34.0,27.0,10.0
